metricId,time,value
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:18:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:20:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:22:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:24:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:26:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:28:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:30:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:32:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:34:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:36:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:38:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:40:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:42:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:44:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:46:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:48:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:50:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:52:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:54:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:56:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:58:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:00:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:02:00,17.151874989271164
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:04:00,13.497736871242523
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:06:00,13.376785725355148
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:08:00,19.006470680236816
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:10:00,15.670105308294296
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:12:00,9.669285595417023
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:14:00,22.75352942943573
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:16:00,15.927074253559113
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:18:00,6.527999997138977
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:20:00,20.47383889555931
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:22:00,16.621207505464554
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:24:00,9.592142760753632
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:26:00,19.655833274126053
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:28:00,13.524736821651459
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:30:00,10.217142909765244
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:32:00,18.64736831188202
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:34:00,9.391249895095825
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:36:00,17.132236927747726
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:38:00,20.493266254663467
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:40:00,6.554999947547913
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:42:00,11.099423080682755
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:44:00,15.512499958276749
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:46:00,11.495454549789429
